Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios
Castilla-La Mancha,2021-04-16,180494,183.75,5809,472,7
Cataluña,2021-04-16,559460,226.85,13823,2172,8
Ceuta,2021-04-16,5589,488.11,100,16,1
Comunidad de Madrid,2021-04-16,654322,372.26,14803,2301,18
Comunidad Foral de Navarra,2021-04-16,57581,443.44,1137,203,3
Comunidad Valenciana,2021-04-16,388216,36.24,7204,223,9
España,2021-04-16,3407283,213.05,76981,10598,99
Extremadura,2021-04-16,72806,137.97,1777,93,3
Galicia,2021-04-16,119178,82.28,2358,249,0
Islas Baleares,2021-04-16,58533,59.75,780,56,0
Islas Canarias,2021-04-16,50321,133.6,708,281,2
La Rioja,2021-04-16,28746,230.69,753,112,1
Melilla,2021-04-16,8384,531.72,86,35,0
País Vasco,2021-04-16,174111,375.23,4075,926,11
Principado de Asturias,2021-04-16,49243,171.28,1925,124,0
Región de Murcia,2021-04-16,109743,66.96,1583,83,6
Andalucía,2021-04-19,534597,263.42,9432,4205,17
Aragón,2021-04-19,115206,271.55,3407,695,14
Cantabria,2021-04-19,27579,208.1,553,310,2
Castilla y León,2021-04-19,219244,210.74,6713,860,12
Castilla-La Mancha,2021-04-19,181337,204.72,5815,843,6
Cataluña,2021-04-19,563680,254.3,13845,4220,22
Ceuta,2021-04-19,5639,450.11,101,50,1
Comunidad de Madrid,2021-04-19,659066,406.66,14811,4744,8
Comunidad Foral de Navarra,2021-04-19,58034,428.77,1138,453,1
Comunidad Valenciana,2021-04-19,388652,39.27,7216,436,12
España,2021-04-19,3428354,230.54,77102,21071,121
Extremadura,2021-04-19,73046,135.9,1780,240,3
Galicia,2021-04-19,119735,90.09,2361,557,3
Islas Baleares,2021-04-19,58664,60.6,780,131,0
Islas Canarias,2021-04-19,50881,140.49,714,560,6
La Rioja,2021-04-19,28875,234.13,756,129,3
Melilla,2021-04-19,8430,516.79,86,46,0
País Vasco,2021-04-19,176248,399.68,4077,2137,2
Principado de Asturias,2021-04-19,49533,169.81,1933,290,8
Región de Murcia,2021-04-19,109908,68.22,1584,165,1
Andalucía,2021-04-20,536010,259.08,9460,1413,28
Aragón,2021-04-20,115405,269.37,3410,199,3
Cantabria,2021-04-20,27688,217.02,553,109,0
Castilla y León,2021-04-20,219652,209.03,6718,408,5
Castilla-La Mancha,2021-04-20,181747,209.66,5824,410,9
Cataluña,2021-04-20,564302,254.17,13855,622,10
Ceuta,2021-04-20,5650,419.23,101,11,0
Comunidad de Madrid,2021-04-20,661475,403.74,14844,2409,33
Comunidad Foral de Navarra,2021-04-20,58203,426.35,1139,169,1
Comunidad Valenciana,2021-04-20,388758,40.06,7225,106,9
España,2021-04-20,3435840,230.95,77216,7486,114
Extremadura,2021-04-20,73152,137.69,1780,106,0
Galicia,2021-04-20,119881,90.35,2362,146,1
Islas Baleares,2021-04-20,58720,62.48,782,56,2
Islas Canarias,2021-04-20,51032,137.04,715,151,1
La Rioja,2021-04-20,28964,254.44,756,89,0
Melilla,2021-04-20,8450,498.42,88,20,2
País Vasco,2021-04-20,177099,429.59,4085,851,8
Principado de Asturias,2021-04-20,49662,173.05,1935,129,2
Región de Murcia,2021-04-20,109990,66.1,1584,82,0
Andalucía,2021-04-21,537908,254.94,9479,1898,19
Aragón,2021-04-21,115746,267.42,3415,341,5
Cantabria,2021-04-21,27778,221.13,553,90,0
Castilla y León,2021-04-21,220083,208.86,6723,431,5
Castilla-La Mancha,2021-04-21,182138,209.51,5830,391,6
Cataluña,2021-04-21,566399,249.52,13917,2097,62
Ceuta,2021-04-21,5664,393.1,101,14,0
Comunidad de Madrid,2021-04-21,664230,400.79,14871,2755,27
Comunidad Foral de Navarra,2021-04-21,58406,424.99,1141,203,2
Comunidad Valenciana,2021-04-21,388940,40.02,7233,182,8
España,2021-04-21,3446072,229.65,77364,10232,148
Extremadura,2021-04-21,73231,134.68,1781,79,1
Galicia,2021-04-21,120076,91.09,2363,195,1
Islas Baleares,2021-04-21,58756,59.66,787,36,5
Islas Canarias,2021-04-21,51233,135.76,716,201,1
La Rioja,2021-04-21,29010,252.26,756,46,0
Melilla,2021-04-21,8485,472,88,35,0
País Vasco,2021-04-21,178117,448.46,4089,1018,4
Principado de Asturias,2021-04-21,49801,174.82,1936,139,1
Región de Murcia,2021-04-21,110071,66.63,1585,81,1
Andalucía,2021-04-22,539780,251.35,9495,1872,16
Aragón,2021-04-22,116084,268.24,3420,338,5
Cantabria,2021-04-22,27885,228.85,554,107,1
Castilla y León,2021-04-22,220468,205.06,6727,385,4
Castilla-La Mancha,2021-04-22,182596,207.85,5836,458,6
Cataluña,2021-04-22,569080,256.37,13939,2681,22
Ceuta,2021-04-22,5682,363.41,102,18,1
Comunidad de Madrid,2021-04-22,666823,398.74,14889,2593,18
Comunidad Foral de Navarra,2021-04-22,58592,416.82,1144,186,3
Comunidad Valenciana,2021-04-22,389162,40.1,7244,222,11
España,2021-04-22,3456886,232.55,77496,10814,132
Extremadura,2021-04-22,73325,132.43,1782,94,1
Galicia,2021-04-22,120304,93.2,2365,228,2
Islas Baleares,2021-04-22,58821,59.41,793,65,6
Islas Canarias,2021-04-22,51452,135.48,717,219,1
La Rioja,2021-04-22,29109,256.63,756,99,0
Melilla,2021-04-22,8518,451.33,88,33,0
País Vasco,2021-04-22,179136,514.25,4123,1019,34
Principado de Asturias,2021-04-22,49903,170.5,1937,102,1
Región de Murcia,2021-04-22,110166,66.04,1585,95,0
Andalucía,2021-04-23,541843,248.78,9528,2063,33
Aragón,2021-04-23,116374,266.21,3423,290,3
Cantabria,2021-04-23,28004,231.77,554,119,0
Castilla y León,2021-04-23,220867,203.68,6735,399,8
Castilla-La Mancha,2021-04-23,182975,207.65,5840,379,4
Cataluña,2021-04-23,572754,278.43,13954,3674,15
Ceuta,2021-04-23,5699,332.53,103,17,1
Comunidad de Madrid,2021-04-23,669268,398.27,14905,2445,16
Comunidad Foral de Navarra,2021-04-23,58786,400.79,1144,194,0
Comunidad Valenciana,2021-04-23,389344,40.08,7245,182,1
España,2021-04-23,3468617,235.51,77591,11731,95
Extremadura,2021-04-23,73439,130.73,1783,114,1
Galicia,2021-04-23,120579,96.12,2366,275,1
Islas Baleares,2021-04-23,58885,59.92,798,64,5
Islas Canarias,2021-04-23,51617,128.91,721,165,4
La Rioja,2021-04-23,29208,270.39,757,99,1
Melilla,2021-04-23,8563,454.78,88,45,0
País Vasco,2021-04-23,180127,523.48,4124,991,1
Principado de Asturias,2021-04-23,50028,166.96,1938,125,1
Región de Murcia,2021-04-23,110257,64.65,1585,91,0
Andalucía,2021-04-26,545483,240.35,9564,3640,36
Aragón,2021-04-26,116959,266.06,3428,585,5
Cantabria,2021-04-26,28310,244.29,554,306,0
Castilla y León,2021-04-26,221515,194.54,6742,648,7
Castilla-La Mancha,2021-04-26,183854,215.18,5840,879,0
Cataluña,2021-04-26,577407,295.52,13990,4653,36
Ceuta,2021-04-26,5725,277.9,103,26,0
Comunidad de Madrid,2021-04-26,673030,393.97,14916,3762,11
Comunidad Foral de Navarra,2021-04-26,59233,368.27,1151,447,7
Comunidad Valenciana,2021-04-26,389876,41.94,7253,532,8
España,2021-04-26,3488469,235.59,77738,19852,147
Extremadura,2021-04-26,73621,121.62,1787,182,4
Galicia,2021-04-26,121177,98.86,2369,598,3
Islas Baleares,2021-04-26,59016,56.59,814,131,16
Islas Canarias,2021-04-26,52033,118.94,724,416,3
La Rioja,2021-04-26,29351,271.95,757,143,0
Melilla,2021-04-26,8636,437.55,89,73,1
País Vasco,2021-04-26,182435,527.18,4129,2308,5
Principado de Asturias,2021-04-26,50342,165.98,1942,314,4
Región de Murcia,2021-04-26,110466,70.54,1586,209,1
Andalucía,2021-04-27,546943,237.58,9584,1460,20
Aragón,2021-04-27,117255,273.81,3427,296,-1
Cantabria,2021-04-27,28441,248.75,555,131,1
Castilla y León,2021-04-27,221970,197,6745,455,3
Castilla-La Mancha,2021-04-27,184166,211.52,5844,312,4
Cataluña,2021-04-27,578218,280.34,14013,811,23
Ceuta,2021-04-27,5736,263.65,104,11,1
Comunidad de Madrid,2021-04-27,675465,395.83,14954,2435,38
Comunidad Foral de Navarra,2021-04-27,59378,363.28,1152,145,1
Comunidad Valenciana,2021-04-27,390020,42.69,7266,144,13
España,2021-04-27,3496134,232.86,77855,7665,117
Extremadura,2021-04-27,73694,118.23,1788,73,1
Galicia,2021-04-27,121330,97.86,2372,153,3
Islas Baleares,2021-04-27,59074,57.7,819,58,5
Islas Canarias,2021-04-27,52197,117.01,725,164,1
La Rioja,2021-04-27,29412,276.64,758,61,1
Melilla,2021-04-27,8650,423.77,89,14,0
País Vasco,2021-04-27,183203,529.43,4131,768,2
Principado de Asturias,2021-04-27,50421,162.15,1943,79,1
Región de Murcia,2021-04-27,110561,68.22,1586,95,0
Andalucía,2021-04-28,548238,231.01,9612,1295,28
Aragón,2021-04-28,117618,275.92,3437,363,10
Cantabria,2021-04-28,28529,250.3,556,88,1
Castilla y León,2021-04-28,222354,197.67,6750,384,5
Castilla-La Mancha,2021-04-28,184520,210.05,5845,354,1
Cataluña,2021-04-28,580682,288.5,14019,2464,6
Ceuta,2021-04-28,5746,219.71,104,10,0
Comunidad de Madrid,2021-04-28,678022,393.04,14969,2557,15
Comunidad Foral de Navarra,2021-04-28,59538,354.96,1154,160,2
Comunidad Valenciana,2021-04-28,390245,44.17,7285,225,19
España,2021-04-28,3504799,230.27,77943,8665,88
Extremadura,2021-04-28,73776,110.62,1788,82,0
Galicia,2021-04-28,121549,99.3,2372,219,0
Islas Baleares,2021-04-28,59139,58.21,819,65,0
Islas Canarias,2021-04-28,52332,114.2,727,135,2
La Rioja,2021-04-28,29485,280.08,757,73,-1
Melilla,2021-04-28,8677,413.43,89,27,0
País Vasco,2021-04-28,183227,485.39,4131,24,0
Principado de Asturias,2021-04-28,50518,153.22,1943,97,0
Región de Murcia,2021-04-28,110604,70.8,1586,43,0
Andalucía,2021-04-29,549722,225.36,9617,1484,5
Aragón,2021-04-29,117986,283.44,3437,368,0
Cantabria,2021-04-29,28629,256.13,556,100,0
Castilla y León,2021-04-29,222744,196.96,6751,390,1
Castilla-La Mancha,2021-04-29,184929,209.02,5846,409,1
Cataluña,2021-04-29,582957,289.33,14082,2275,63
Ceuta,2021-04-29,5751,212.58,104,5,0
Comunidad de Madrid,2021-04-29,680270,388.12,14990,2248,21
Comunidad Foral de Navarra,2021-04-29,59722,352.54,1155,184,1
Comunidad Valenciana,2021-04-29,390460,44.47,7294,215,9
España,2021-04-29,3514942,230.07,78080,10143,137
Extremadura,2021-04-29,73872,108.37,1790,96,2
Galicia,2021-04-29,121792,99.04,2375,243,3
Islas Baleares,2021-04-29,59191,58.9,820,52,1
Islas Canarias,2021-04-29,52505,112.69,728,173,1
La Rioja,2021-04-29,29550,281.64,759,65,2
Melilla,2021-04-29,8693,393.91,89,16,0
País Vasco,2021-04-29,184868,516.68,4157,1641,26
Principado de Asturias,2021-04-29,50621,148.31,1943,103,0
Región de Murcia,2021-04-29,110680,69.94,1587,76,1
Andalucía,2021-04-30,551106,220.58,9628,1384,11
Aragón,2021-04-30,118361,290.36,3437,375,0
Cantabria,2021-04-30,28763,256.13,557,134,1
Castilla y León,2021-04-30,223100,194.45,6754,356,3
Castilla-La Mancha,2021-04-30,185354,209.12,5851,425,5
Cataluña,2021-04-30,585069,295.2,14149,2112,67
Ceuta,2021-04-30,5753,195.96,104,2,0
Comunidad de Madrid,2021-04-30,682556,384.73,14994,2286,4
Comunidad Foral de Navarra,2021-04-30,59870,342.26,1156,148,1
Comunidad Valenciana,2021-04-30,390646,43.82,7306,186,12
España,2021-04-30,3524077,229.2,78216,9135,136
Extremadura,2021-04-30,73966,108.84,1790,94,0
Galicia,2021-04-30,122010,99.41,2377,218,2
Islas Baleares,2021-04-30,59276,59.49,820,85,0
Islas Canarias,2021-04-30,52655,106.57,731,150,3
La Rioja,2021-04-30,29605,268.82,760,55,1
Melilla,2021-04-30,8705,365.2,89,12,0
País Vasco,2021-04-30,185771,517.04,4182,903,25
Principado de Asturias,2021-04-30,50733,147.04,1944,112,1
Región de Murcia,2021-04-30,110778,71.73,1587,98,0
Andalucía,2021-05-03,553953,212.12,9634,2847,6
Aragón,2021-05-03,119153,297.13,3444,792,7
Cantabria,2021-05-03,29059,254.42,557,296,0
Castilla y León,2021-05-03,223750,184.35,6759,650,5
Castilla-La Mancha,2021-05-03,186199,211.71,5861,845,10
Cataluña,2021-05-03,588394,298.34,14152,3325,3
Ceuta,2021-05-03,5764,150.83,106,11,2
Comunidad de Madrid,2021-05-03,685903,368.99,15015,3347,21
Comunidad Foral de Navarra,2021-05-03,60249,332.28,1163,379,7
Comunidad Valenciana,2021-05-03,390994,42.97,7313,348,7
España,2021-05-03,3540430,223.75,78293,16353,77
Extremadura,2021-05-03,74181,106.39,1791,215,1
Galicia,2021-05-03,122477,96.49,2377,467,0
Islas Baleares,2021-05-03,59427,61.63,822,151,2
Islas Canarias,2021-05-03,53026,98.03,732,371,1
La Rioja,2021-05-03,29792,286.64,760,187,0
Melilla,2021-05-03,8735,347.97,89,30,0
País Vasco,2021-05-03,187530,496.91,4186,1759,4
Principado de Asturias,2021-05-03,50925,136.44,1945,192,1
Región de Murcia,2021-05-03,110919,71.2,1587,141,0
Andalucía,2021-05-04,554961,206.09,9666,1008,32
Aragón,2021-05-04,119340,296.68,3446,187,2
Cantabria,2021-05-04,29142,249.44,557,83,0
Castilla y León,2021-05-04,225340,214.37,6775,1590,16
Castilla-La Mancha,2021-05-04,186481,206.77,5861,282,0
Cataluña,2021-05-04,587461,263.56,14191,-933,39
Ceuta,2021-05-04,5766,137.76,107,2,1
Comunidad de Madrid,2021-05-04,686681,343.24,15016,778,1
Comunidad Foral de Navarra,2021-05-04,60376,327.13,1164,127,1
Comunidad Valenciana,2021-05-04,391121,43.24,7318,127,5
España,2021-05-04,3544945,213.9,78399,4515,106
Extremadura,2021-05-04,74254,103.48,1791,73,0
Galicia,2021-05-04,122625,96.6,2378,148,1
Islas Baleares,2021-05-04,59463,61.37,823,36,1
Islas Canarias,2021-05-04,53169,97.47,732,143,0
La Rioja,2021-05-04,29826,270.39,760,34,0
Melilla,2021-05-04,8753,345.68,90,18,1
País Vasco,2021-05-04,188197,491.01,4189,667,3
Principado de Asturias,2021-05-04,50995,131.92,1945,70,0
Región de Murcia,2021-05-04,110994,71.66,1590,75,3
Andalucía,2021-05-05,556194,197.52,9681,1233,15
Aragón,2021-05-05,119698,297.88,3454,358,8
Cantabria,2021-05-05,29212,246.01,558,70,1
Castilla y León,2021-05-05,224396,177.08,6776,-944,1
Castilla-La Mancha,2021-05-05,186828,203.99,5880,347,19
Cataluña,2021-05-05,589156,253.89,14271,1695,80
Ceuta,2021-05-05,5768,123.51,108,2,1
Comunidad de Madrid,2021-05-05,688562,329.12,15041,1881,25
Comunidad Foral de Navarra,2021-05-05,60487,313.67,1165,111,1
Comunidad Valenciana,2021-05-05,391270,42.1,7322,149,4
España,2021-05-05,3551262,205.52,78566,6317,167
Extremadura,2021-05-05,74321,102.63,1793,67,2
Galicia,2021-05-05,122812,95.31,2378,187,0
Islas Baleares,2021-05-05,59515,61.29,824,52,1
Islas Canarias,2021-05-05,53332,96,735,163,3
La Rioja,2021-05-05,29912,283.2,761,86,1
Melilla,2021-05-05,8772,327.3,92,19,2
País Vasco,2021-05-05,188890,478.27,4191,693,2
Principado de Asturias,2021-05-05,51047,122.99,1946,52,1
Región de Murcia,2021-05-05,111090,71.66,1590,96,0
Andalucía,2021-05-06,557408,192.84,9689,1214,8
Aragón,2021-05-06,120025,297.35,3454,327,0
Cantabria,2021-05-06,29281,239.49,558,69,0
Castilla y León,2021-05-06,224712,173.95,6778,316,2
Castilla-La Mancha,2021-05-06,187198,202.91,5883,370,3
Cataluña,2021-05-06,591034,254.89,14292,1878,21
Ceuta,2021-05-06,5769,103.32,109,1,1
Comunidad de Madrid,2021-05-06,690695,323.56,15075,2133,34
Comunidad Foral de Navarra,2021-05-06,60625,306.11,1165,138,0
Comunidad Valenciana,2021-05-06,391438,40.99,7323,168,1
España,2021-05-06,3559222,202.2,78726,7960,160
Extremadura,2021-05-06,74379,99.53,1794,58,1
Galicia,2021-05-06,123042,94.86,2379,230,1
Islas Baleares,2021-05-06,59557,59.24,825,42,1
Islas Canarias,2021-05-06,53486,92.7,739,154,4
La Rioja,2021-05-06,29958,269.13,761,46,0
Melilla,2021-05-06,8787,305.48,93,15,1
País Vasco,2021-05-06,189580,463.36,4273,690,82
Principado de Asturias,2021-05-06,51096,117.69,1946,49,0
Región de Murcia,2021-05-06,111152,70.01,1590,62,0
Andalucía,2021-05-07,558932,191.73,9700,1524,11
Aragón,2021-05-07,120282,293.82,3452,257,-2
Cantabria,2021-05-07,29352,231.26,558,71,0
Castilla y León,2021-05-07,225064,169.98,6782,352,4
Castilla-La Mancha,2021-05-07,187594,202.52,5883,396,0
Cataluña,2021-05-07,592912,251.14,14319,1878,27
Ceuta,2021-05-07,5770,84.32,109,1,0
Comunidad de Madrid,2021-05-07,692750,317.56,15087,2055,12
Comunidad Foral de Navarra,2021-05-07,60753,296.13,1164,128,-1
Comunidad Valenciana,2021-05-07,391613,40.54,7329,175,6
España,2021-05-07,3567408,198.6,78792,8186,66
Extremadura,2021-05-07,74442,94.27,1794,63,0
Galicia,2021-05-07,123274,93.75,2380,232,1
Islas Baleares,2021-05-07,59627,60.43,827,70,2
Islas Canarias,2021-05-07,53609,90.76,742,123,3
La Rioja,2021-05-07,30005,246.94,762,47,1
Melilla,2021-05-07,8826,295.14,94,39,1
País Vasco,2021-05-07,190197,447.56,4274,617,1
Principado de Asturias,2021-05-07,51158,111.7,1946,62,0
Región de Murcia,2021-05-07,111248,69.41,1590,96,0
Andalucía,2021-05-10,561585,180.62,9708,2653,8
Aragón,2021-05-10,120814,290.81,3460,532,8
Cantabria,2021-05-10,29505,205.18,560,153,2
Castilla y León,2021-05-10,225660,165.98,6785,596,3
Castilla-La Mancha,2021-05-10,188225,192.99,5884,631,1
Cataluña,2021-05-10,596039,248.61,14342,3127,23
Ceuta,2021-05-10,5771,53.44,112,1,3
Comunidad de Madrid,2021-05-10,695627,302.67,15105,2877,18
Comunidad Foral de Navarra,2021-05-10,61032,269.51,1167,279,3
Comunidad Valenciana,2021-05-10,391899,35.61,7336,286,7
España,2021-05-10,3581392,188.97,78895,13984,103
Extremadura,2021-05-10,74582,90.6,1795,140,1
Galicia,2021-05-10,123811,93.42,2381,537,1
Islas Baleares,2021-05-10,59737,58.38,829,110,2
Islas Canarias,2021-05-10,53909,85.8,752,300,10
La Rioja,2021-05-10,30098,230.06,762,93,0
Melilla,2021-05-10,8866,258.39,95,40,1
País Vasco,2021-05-10,191513,401.26,4281,1316,7
Principado de Asturias,2021-05-10,51306,95.51,1951,148,5
Región de Murcia,2021-05-10,111413,67.43,1590,165,0
Andalucía,2021-05-11,562593,178.11,9760,1008,52
Aragón,2021-05-11,120965,279.83,3463,151,3
Cantabria,2021-05-11,29556,191.45,560,51,0
Castilla y León,2021-05-11,225983,161.63,6788,323,3
Castilla-La Mancha,2021-05-11,188534,190.3,5886,309,2
Cataluña,2021-05-11,596478,222.79,14382,439,40
Ceuta,2021-05-11,5772,42.75,112,1,0
Comunidad de Madrid,2021-05-11,697084,291.73,15135,1457,30
Comunidad Foral de Navarra,2021-05-11,61110,261.19,1163,78,-4
Comunidad Valenciana,2021-05-11,391998,34.64,7342,99,6
España,2021-05-11,3586333,180.69,79100,4941,205
Extremadura,2021-05-11,74632,88.44,1795,50,0
Galicia,2021-05-11,123962,92.31,2381,151,0
Islas Baleares,2021-05-11,59797,58.04,829,60,0
Islas Canarias,2021-05-11,54031,84.01,753,122,1
La Rioja,2021-05-11,30135,223.5,764,37,2
Melilla,2021-05-11,8892,273.32,96,26,1
País Vasco,2021-05-11,191974,387.75,4349,461,68
Principado de Asturias,2021-05-11,51356,92.37,1952,50,1
Región de Murcia,2021-05-11,111481,65.31,1590,68,0
Andalucía,2021-05-12,563882,174.59,9778,1289,18
Aragón,2021-05-12,121190,269.6,3473,225,10
Cantabria,2021-05-12,29602,184.08,560,46,0
Castilla y León,2021-05-12,226223,154.95,6794,240,6
Castilla-La Mancha,2021-05-12,188753,181.59,5892,219,6
Cataluña,2021-05-12,597957,212.39,14409,1479,27
Ceuta,2021-05-12,5772,30.88,112,0,0
Comunidad de Madrid,2021-05-12,698584,277.19,15155,1500,20
Comunidad Foral de Navarra,2021-05-12,61178,247.58,1166,68,3
Comunidad Valenciana,2021-05-12,392131,32.9,7349,133,7
España,2021-05-12,3592751,173.78,79208,6418,108
Extremadura,2021-05-12,74719,88.53,1796,87,1
Galicia,2021-05-12,124176,91.53,2382,214,1
Islas Baleares,2021-05-12,59837,55.91,830,40,1
Islas Canarias,2021-05-12,54222,86.54,754,191,1
La Rioja,2021-05-12,30181,213.49,765,46,1
Melilla,2021-05-12,8913,266.43,96,21,0
País Vasco,2021-05-12,192477,371.54,4353,503,4
Principado de Asturias,2021-05-12,51403,87.06,1952,47,0
Región de Murcia,2021-05-12,111551,62.99,1592,70,2
Andalucía,2021-05-13,565201,171.15,9787,1319,9
Aragón,2021-05-13,121429,259.44,3474,239,1
Cantabria,2021-05-13,29649,175.16,560,47,0
Castilla y León,2021-05-13,226475,148.56,6803,252,9
Castilla-La Mancha,2021-05-13,189088,177,5899,335,7
Cataluña,2021-05-13,599033,199.63,14430,1076,21
Ceuta,2021-05-13,5773,26.13,113,1,1
Comunidad de Madrid,2021-05-13,700152,267.42,15162,1568,7
Comunidad Foral de Navarra,2021-05-13,61267,233.21,1168,89,2
Comunidad Valenciana,2021-05-13,392262,32.09,7352,131,3
España,2021-05-13,3598452,166.32,79281,5701,73
Extremadura,2021-05-13,74788,85.9,1797,69,1
Galicia,2021-05-13,124333,89.79,2384,157,2
Islas Baleares,2021-05-13,59868,51.81,831,31,1
Islas Canarias,2021-05-13,54406,86.95,759,184,5
La Rioja,2021-05-13,30222,207.87,766,41,1
Melilla,2021-05-13,8924,261.84,96,11,0
País Vasco,2021-05-13,192490,333.3,4353,13,0
Principado de Asturias,2021-05-13,51461,83.04,1954,58,2
Región de Murcia,2021-05-13,111631,63.13,1593,80,1
Andalucía,2021-05-14,566808,171.31,9797,1607,10
Aragón,2021-05-14,121653,248.84,3481,224,7
Cantabria,2021-05-14,29696,160.23,560,47,0
Castilla y León,2021-05-14,226769,147.31,6804,294,1
Castilla-La Mancha,2021-05-14,189406,170.98,5900,318,1
Cataluña,2021-05-14,599891,191.57,14446,858,16
Ceuta,2021-05-14,5776,27.32,113,3,0
Comunidad de Madrid,2021-05-14,701437,256.35,15164,1285,2
Comunidad Foral de Navarra,2021-05-14,61340,221.42,1168,73,0
Comunidad Valenciana,2021-05-14,392415,31.22,7361,153,9
España,2021-05-14,3604799,162.03,79339,6347,58
Extremadura,2021-05-14,74870,85.15,1797,82,0
Galicia,2021-05-14,124532,87.76,2386,199,2
Islas Baleares,2021-05-14,59895,49.42,833,27,2
Islas Canarias,2021-05-14,54526,85.76,760,120,1
La Rioja,2021-05-14,30258,198.18,767,36,1
Melilla,2021-05-14,8932,257.25,96,8,0
País Vasco,2021-05-14,193326,334.97,4359,836,6
Principado de Asturias,2021-05-14,51513,77.35,1954,52,0
Región de Murcia,2021-05-14,111756,63.46,1593,125,0
Andalucía,2021-05-17,569401,169.72,9808,2593,11
Aragón,2021-05-17,122063,220.85,3492,410,11
Cantabria,2021-05-17,29771,121.98,561,75,1
Castilla y León,2021-05-17,227316,141.88,6816,547,12
Castilla-La Mancha,2021-05-17,189406,136.22,5900,0,0
Cataluña,2021-05-17,602275,182.55,14470,2384,24
Ceuta,2021-05-17,5779,17.81,114,3,1
Comunidad de Madrid,2021-05-17,703560,239.34,15170,2123,6
Comunidad Foral de Navarra,2021-05-17,61544,195.86,1170,204,2
Comunidad Valenciana,2021-05-17,392802,29.48,7369,387,8
España,2021-05-17,3615860,151.82,79432,11061,93
Extremadura,2021-05-17,75027,80.08,1797,157,0
Galicia,2021-05-17,124948,88.01,2390,416,4
Islas Baleares,2021-05-17,60003,46.69,833,108,0
Islas Canarias,2021-05-17,54880,83.92,762,354,2
La Rioja,2021-05-17,30338,168.8,769,80,2
Melilla,2021-05-17,8962,253.8,97,30,1
País Vasco,2021-05-17,194255,295.34,4363,929,4
Principado de Asturias,2021-05-17,51645,71.36,1958,132,4
Región de Murcia,2021-05-17,111885,63.79,1593,129,0
Andalucía,2021-05-18,570363,169,9825,962,17
Aragón,2021-05-18,122193,216.41,3490,130,-2
Cantabria,2021-05-18,29812,114.6,561,41,0
Castilla y León,2021-05-18,227579,139.67,6825,263,9
Castilla-La Mancha,2021-05-18,189406,120.43,5900,0,0
Cataluña,2021-05-18,602609,161.46,14484,334,14
Ceuta,2021-05-18,5779,15.44,114,0,0
Comunidad de Madrid,2021-05-18,704832,249.95,15189,1272,19
Comunidad Foral de Navarra,2021-05-18,61606,186.33,1170,62,0
Comunidad Valenciana,2021-05-18,392938,29.58,7371,136,2
España,2021-05-18,3619848,147.54,79502,3988,70
Extremadura,2021-05-18,75084,78.29,1797,57,0
Galicia,2021-05-18,125065,85.87,2395,117,5
Islas Baleares,2021-05-18,60033,45.32,835,30,2
Islas Canarias,2021-05-18,55009,84.06,763,129,1
La Rioja,2021-05-18,30356,164.11,769,18,0
Melilla,2021-05-18,8983,261.84,97,21,0
País Vasco,2021-05-18,194551,279.76,4365,296,2
Principado de Asturias,2021-05-18,51694,69.3,1959,49,1
Región de Murcia,2021-05-18,111956,60.81,1593,71,0
Andalucía,2021-05-19,571401,164.83,9840,1038,15
Aragón,2021-05-19,122451,207.99,3494,258,4
Cantabria,2021-05-19,29851,109.28,561,39,0
Castilla y León,2021-05-19,227899,139.84,6828,320,3
Castilla-La Mancha,2021-05-19,189827,116.12,5900,421,0
Cataluña,2021-05-19,603975,159.3,14491,1366,7
Ceuta,2021-05-19,5780,14.25,114,1,0
Comunidad de Madrid,2021-05-19,706306,247.36,15196,1474,7
Comunidad Foral de Navarra,2021-05-19,61682,180.88,1170,76,0
Comunidad Valenciana,2021-05-19,393076,29.34,7369,138,-2
España,2021-05-19,3625928,144.56,79568,6080,66
Extremadura,2021-05-19,75165,79.42,1797,81,0
Galicia,2021-05-19,125198,83.02,2396,133,1
Islas Baleares,2021-05-19,60072,44.39,837,39,2
Islas Canarias,2021-05-19,55115,81.53,763,106,0
La Rioja,2021-05-19,30401,151.6,769,45,0
Melilla,2021-05-19,8990,249.21,97,7,0
País Vasco,2021-05-19,194915,266.07,4393,364,28
Principado de Asturias,2021-05-19,51743,69.2,1960,49,1
Región de Murcia,2021-05-19,112081,63.66,1593,125,0
Andalucía,2021-05-20,572825,164.36,9853,1424,13
Aragón,2021-05-20,122692,201.22,3496,241,2
Cantabria,2021-05-20,29877,101.9,561,26,0
Castilla y León,2021-05-20,228162,137.67,6831,263,3
Castilla-La Mancha,2021-05-20,190021,108.5,5894,194,-6
Cataluña,2021-05-20,605100,151.69,14497,1125,6
Ceuta,2021-05-20,5789,11.88,114,9,0
Comunidad de Madrid,2021-05-20,707480,234.37,15199,1174,3
Comunidad Foral de Navarra,2021-05-20,61740,168.33,1170,58,0
Comunidad Valenciana,2021-05-20,393249,29.66,7373,173,4
España,2021-05-20,3631661,139.89,79601,5733,33
Extremadura,2021-05-20,75237,80.64,1798,72,1
Galicia,2021-05-20,125377,80.91,2396,179,0
Islas Baleares,2021-05-20,60098,42.76,837,26,0
Islas Canarias,2021-05-20,55294,82.63,766,179,3
La Rioja,2021-05-20,30431,146.91,769,30,0
Melilla,2021-05-20,9004,246.91,97,14,0
